# Irene Model output file: angle/run1.AP9.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AP9
# Particle species:         H+
# Flux type:                1PtDiff
# Flux direction:           13 pitch angle(s) = 180 165 150 135 120 105 90 75 60 45 30 15 0
# Energy levels (MeV):       0.1 0.15 0.2 0.3 0.4 0.5 0.6 0.7 1 1.5 2 3 4 5 6 7 10 15 20 30 40 50 60 70 100 150 200 300 400 700 1200 2000
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),pitchAngle(deg),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/sr/s/MeV)
58849.00000000,1.31416735,-0.00084105,-0.00199247,180.000,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.00000000,1.31416735,-0.00084105,-0.00199247,165.000,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.00000000,1.31416735,-0.00084105,-0.00199247,150.000,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.00000000,1.31416735,-0.00084105,-0.00199247,135.000,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.00000000,1.31416735,-0.00084105,-0.00199247,120.000,3.13114898e+03,2.79117916e+03,2.45120934e+03,2.03556488e+03,1.61992042e+03,1.48230618e+03,1.34469195e+03,1.33001682e+03,8.47542816e+02,5.29859620e+02,2.12176425e+02,1.59140894e+02,1.06105363e+02,8.81488718e+01,7.01923801e+01,6.79313210e+01,5.48509194e+01,4.46711933e+01,2.98674837e+01,2.06792990e+01,1.76451599e+01,1.46110208e+01,1.09471613e+01,9.87822197e+00,6.12773723e+00,3.91491417e+00,2.08313480e+00,9.82285804e-01,1.10501036e-01,4.56716029e-03,0.00000000e+00,0.00000000e+00
58849.00000000,1.31416735,-0.00084105,-0.00199247,105.000,1.09540022e+04,9.74304564e+03,8.53208910e+03,6.94801270e+03,5.36393631e+03,4.62717584e+03,3.89041537e+03,3.33472714e+03,1.83001043e+03,1.47473675e+03,1.11946306e+03,1.00421537e+03,8.88967682e+02,8.52983336e+02,8.16998990e+02,7.56349705e+02,4.94634540e+02,3.25845135e+02,1.83748640e+02,9.15072526e+01,7.18538857e+01,5.22005188e+01,3.55051896e+01,3.22052670e+01,1.94174650e+01,1.17845568e+01,5.57406776e+00,2.31799524e+00,2.85556923e-01,1.66226213e-02,3.17877745e-04,0.00000000e+00
58849.00000000,1.31416735,-0.00084105,-0.00199247,90.000,1.20680571e+04,1.07689010e+04,9.46974492e+03,7.75237436e+03,6.03500379e+03,5.06671267e+03,4.09842156e+03,3.52341429e+03,1.95602559e+03,1.65811722e+03,1.36020884e+03,1.22886738e+03,1.09752592e+03,1.05961661e+03,1.02170730e+03,9.47293694e+02,6.25621515e+02,4.13504632e+02,2.29125280e+02,1.09954622e+02,8.47271106e+01,5.94995990e+01,3.90618934e+01,3.53050359e+01,2.16042661e+01,1.34541225e+01,6.52382793e+00,2.77561481e+00,3.57537796e-01,2.25949271e-02,6.10084307e-04,0.00000000e+00
58849.00000000,1.31416735,-0.00084105,-0.00199247,75.000,1.09540022e+04,9.74304564e+03,8.53208910e+03,6.94801270e+03,5.36393631e+03,4.62717584e+03,3.89041537e+03,3.33472714e+03,1.83001043e+03,1.47473675e+03,1.11946306e+03,1.00421537e+03,8.88967682e+02,8.52983336e+02,8.16998990e+02,7.56349705e+02,4.94634540e+02,3.25845135e+02,1.83748640e+02,9.15072526e+01,7.18538857e+01,5.22005188e+01,3.55051896e+01,3.22052670e+01,1.94174650e+01,1.17845568e+01,5.57406776e+00,2.31799524e+00,2.85556923e-01,1.66226213e-02,3.17877745e-04,0.00000000e+00
58849.00000000,1.31416735,-0.00084105,-0.00199247,60.000,3.13114898e+03,2.79117916e+03,2.45120934e+03,2.03556488e+03,1.61992042e+03,1.48230618e+03,1.34469195e+03,1.33001682e+03,8.47542816e+02,5.29859620e+02,2.12176425e+02,1.59140894e+02,1.06105363e+02,8.81488718e+01,7.01923801e+01,6.79313210e+01,5.48509194e+01,4.46711933e+01,2.98674837e+01,2.06792990e+01,1.76451599e+01,1.46110208e+01,1.09471613e+01,9.87822197e+00,6.12773723e+00,3.91491417e+00,2.08313480e+00,9.82285804e-01,1.10501036e-01,4.56716029e-03,0.00000000e+00,0.00000000e+00
58849.00000000,1.31416735,-0.00084105,-0.00199247,45.000,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
