# Irene Model output file: space_first/run/diff.AE9.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE9
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Energy levels (MeV):       0.04 0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 1 1.25 1.5 1.75 2 2.25 2.5 2.75 3 3.25 3.5 3.75 4 4.25 4.5 4.75 5 5.5 6 6.5 7 8.5 10
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/MeV)
58849.00000000,1.31416735,-0.00084105,-0.00199247,3.49813152e+08,2.47358553e+08,1.32664594e+08,6.23944845e+07,3.65482235e+07,1.07019626e+07,6.88300372e+06,3.06404487e+06,9.56215711e+05,1.62816753e+05,9.57392295e+04,2.86617058e+04,1.64970034e+04,4.33230107e+03,2.42972497e+03,5.27148870e+02,2.85630621e+02,4.41123729e+01,2.34094666e+01,2.70656042e+00,1.35328021e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.00069444,1.31261321,0.02443438,0.05787102,3.65746476e+08,2.56380974e+08,1.37403431e+08,6.45463737e+07,3.78098014e+07,1.10732290e+07,7.12327935e+06,3.17332967e+06,9.93569297e+05,1.74427147e+05,1.03460412e+05,3.24936762e+04,1.87626451e+04,5.03161404e+03,2.81742582e+03,6.03237596e+02,3.25762991e+02,4.82883859e+01,2.56049594e+01,2.92153293e+00,1.46076646e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.00138889,1.30784738,0.04965001,0.11759264,3.76293591e+08,2.56756624e+08,1.37092191e+08,6.40032424e+07,3.74897776e+07,1.09763127e+07,7.06904457e+06,3.16177641e+06,1.00314023e+06,1.83131858e+05,1.09916708e+05,3.67015588e+04,2.13315067e+04,5.96145454e+03,3.35162673e+03,7.41798932e+02,3.99892570e+02,5.79862072e+01,3.06421252e+01,3.29804320e+00,1.64902160e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.00208333,1.29988124,0.07474415,0.17702595,3.82746199e+08,2.54856514e+08,1.35144710e+08,6.23505169e+07,3.64739358e+07,1.05973547e+07,6.82003220e+06,3.04270967e+06,9.57700455e+05,1.72308637e+05,1.03830856e+05,3.53530750e+04,2.07013301e+04,6.04958520e+03,3.44160496e+03,8.33624724e+02,4.50174154e+02,6.67235846e+01,3.53020857e+01,3.88058679e+00,1.94029339e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.00277778,1.28873405,0.09965538,0.23602523,3.83281220e+08,2.48120574e+08,1.30262493e+08,5.90360856e+07,3.44413512e+07,9.84661692e+06,6.33003070e+06,2.81344448e+06,8.74797694e+05,1.53383011e+05,9.19448570e+04,3.05067028e+04,1.78926828e+04,5.27866286e+03,3.03065910e+03,7.82655337e+02,4.23878230e+02,6.51011236e+01,3.45765559e+01,4.05198820e+00,2.02832749e+00,4.66678645e-03,2.33339323e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.00347222,1.27443289,0.12432270,0.29444577,3.73071332e+08,2.32724307e+08,1.20712155e+08,5.34995704e+07,3.10865543e+07,8.67353820e+06,5.57302315e+06,2.47250811e+06,7.64589709e+05,1.33946222e+05,7.97674129e+04,2.55886034e+04,1.48201517e+04,4.05169997e+03,2.30564268e+03,5.59585400e+02,3.02647456e+02,4.57095122e+01,2.45399017e+01,3.37029112e+00,1.69960556e+00,2.89200067e-02,1.44600034e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.00416667,1.25701266,0.14868576,0.35214432,3.40152518e+08,2.05823704e+08,1.04904741e+08,4.49462489e+07,2.59482273e+07,6.95020568e+06,4.45563426e+06,1.96106284e+06,5.93015152e+05,1.09967248e+05,6.54938337e+04,2.10204190e+04,1.21801621e+04,3.33990512e+03,1.88689495e+03,4.33884787e+02,2.36895729e+02,3.99066699e+01,2.21541375e+01,4.40160507e+00,2.45559405e+00,5.09583037e-01,2.54791519e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.00486111,1.23651593,0.17268491,0.40897938,3.03179184e+08,1.72162029e+08,8.51686215e+07,3.43423259e+07,1.96831424e+07,5.02395888e+06,3.21509772e+06,1.40623656e+06,4.17991160e+05,8.27318670e+04,4.93281514e+04,1.59244357e+04,9.32830707e+03,2.73217841e+03,1.56353936e+03,3.94900298e+02,2.25897297e+02,5.68942970e+01,3.40657038e+01,1.12371107e+01,6.92962469e+00,2.62213871e+00,1.78507084e+00,9.48002967e-01,7.23988268e-01,4.99973568e-01,2.92179024e-01,1.76968847e-01,3.98032274e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.00555556,1.21299286,0.19626141,0.46481157,2.46404262e+08,1.19427197e+08,5.49268087e+07,1.86262783e+07,1.05256054e+07,2.42493241e+06,1.54768742e+06,6.70442427e+05,1.93863670e+05,4.20386300e+04,2.52839361e+04,8.52924228e+03,5.29625266e+03,2.06326304e+03,1.25345886e+03,4.43654675e+02,2.73504982e+02,1.03355289e+02,6.51072464e+01,2.68592038e+01,1.73133394e+01,7.76747506e+00,5.56666161e+00,3.36584815e+00,2.57578081e+00,1.78571346e+00,1.03990519e+00,5.42041980e-01,3.41910928e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.00625000,1.18650108,0.21935757,0.51950402,2.03369234e+08,8.78083866e+07,3.84618349e+07,1.13091839e+07,6.35043349e+06,1.39168310e+06,8.86228686e+05,3.80774275e+05,1.07160917e+05,2.36163081e+04,1.42258180e+04,4.83532792e+03,3.08055108e+03,1.32577424e+03,8.29903382e+02,3.34032527e+02,2.17176631e+02,1.00320735e+02,6.65150216e+01,3.27093085e+01,2.20640330e+01,1.14187575e+01,8.41689234e+00,5.41502719e+00,4.16711586e+00,2.91920453e+00,1.67657716e+00,1.00003400e+00,5.36737737e-01,2.20010296e-01,0.00000000e+00,0.00000000e+00
58849.00694444,1.15710550,0.24191688,0.57292265,1.51408102e+08,5.84480090e+07,2.47647101e+07,6.49212708e+06,3.63026006e+06,7.68393049e+05,4.87968504e+05,2.07543959e+05,5.62264579e+04,1.18055420e+04,7.09550450e+03,2.38546703e+03,1.53212849e+03,6.78789956e+02,4.32804114e+02,1.86818273e+02,1.26548820e+02,6.62793669e+01,4.60771559e+01,2.58749448e+01,1.82340437e+01,1.05931426e+01,7.97984490e+00,5.36654721e+00,4.16789217e+00,2.96923713e+00,1.73337414e+00,9.30708230e-01,5.91340875e-01,2.55246477e-01,0.00000000e+00,0.00000000e+00
58849.00763889,1.12487820,0.26388417,0.62493655,1.10627814e+08,3.71465037e+07,1.54885484e+07,3.81606657e+06,2.12905821e+06,4.42049857e+05,2.79974908e+05,1.17899959e+05,3.08657024e+04,6.87857447e+03,4.28501567e+03,1.69145687e+03,1.16185498e+03,6.32253093e+02,4.21088476e+02,2.09923860e+02,1.48889392e+02,8.78549238e+01,6.22383392e+01,3.66217546e+01,2.59366425e+01,1.52515304e+01,1.13933095e+01,7.53508873e+00,5.80646611e+00,4.07784350e+00,2.40273975e+00,1.36462083e+00,8.79949435e-01,4.63870348e-01,2.13407747e-01,5.15755019e-02
58849.00833333,1.08989822,0.28520570,0.67541829,9.29282525e+07,2.78635723e+07,1.18297541e+07,3.13063633e+06,1.76621892e+06,4.01801520e+05,2.56187491e+05,1.10573462e+05,3.18995348e+04,8.43188416e+03,5.53355311e+03,2.63522206e+03,1.92117115e+03,1.20712024e+03,8.14120721e+02,4.21121199e+02,2.92360378e+02,1.63599557e+02,1.11384023e+02,5.91684882e+01,4.03617894e+01,2.15550906e+01,1.57151623e+01,9.87523400e+00,7.53062629e+00,5.18601858e+00,3.00580308e+00,1.89292211e+00,1.28155325e+00,7.60481068e-01,3.60444789e-01,7.79200999e-02
58849.00902778,1.05225136,0.30582936,0.72424421,9.92803451e+07,2.77482489e+07,1.25491472e+07,4.09748678e+06,2.39326758e+06,6.89048377e+05,4.48155751e+05,2.07263126e+05,7.43036268e+04,2.42508801e+04,1.66497406e+04,9.04860118e+03,6.79432096e+03,4.54004074e+03,3.04146935e+03,1.54289797e+03,1.04895498e+03,5.55011992e+02,3.69286739e+02,1.83561485e+02,1.22452898e+02,6.13443104e+01,4.39386675e+01,2.65330245e+01,2.02173754e+01,1.39017263e+01,7.63328423e+00,4.57950443e+00,2.88552673e+00,1.68220226e+00,8.98790379e-01,5.57242078e-01
58849.00972222,1.01202995,0.32570474,0.77129478,1.29817652e+08,3.50068130e+07,1.73670099e+07,7.16588054e+06,4.40342486e+06,1.64096918e+06,1.10292606e+06,5.64882938e+05,2.56574480e+05,9.94268901e+04,6.86641308e+04,3.79013716e+04,2.71746920e+04,1.64480124e+04,1.07428429e+04,5.03767336e+03,3.38138592e+03,1.72509848e+03,1.14991564e+03,5.74732810e+02,3.85565268e+02,1.96397727e+02,1.42135827e+02,8.78739271e+01,6.67345366e+01,4.55951461e+01,2.43841184e+01,1.31345154e+01,7.89416650e+00,3.89780635e+00,1.99178844e+00,1.30951626e+00
