# Irene Model output file: space_first/run/diff.AP9.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AP9
# Particle species:         H+
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Energy levels (MeV):       0.1 0.15 0.2 0.3 0.4 0.5 0.6 0.7 1 1.5 2 3 4 5 6 7 10 15 20 30 40 50 60 70 100 150 200 300 400 700 1200 2000
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/MeV)
58849.00000000,1.31416735,-0.00084105,-0.00199247,6.52420656e+04,5.81045573e+04,5.09670490e+04,4.16502123e+04,3.23333755e+04,2.77973096e+04,2.32612437e+04,2.02818863e+04,1.13674893e+04,8.99972757e+03,6.63196581e+03,5.89476458e+03,5.15756335e+03,4.92868334e+03,4.69980334e+03,4.35682716e+03,2.87368255e+03,1.90854002e+03,1.07755232e+03,5.41094941e+02,4.25088534e+02,3.09082127e+02,2.09989001e+02,1.90188439e+02,1.15447626e+02,7.09435750e+01,3.42198153e+01,1.45287494e+01,1.78686768e+00,1.03020355e-01,2.05093060e-03,0.00000000e+00
58849.00069444,1.31261321,0.02443438,0.05787102,7.81392206e+04,6.96810165e+04,6.12228125e+04,4.99991500e+04,3.87754875e+04,3.21757851e+04,2.55760828e+04,2.21386379e+04,1.20670774e+04,9.89037659e+03,7.71367574e+03,6.84616728e+03,5.97865881e+03,5.70723436e+03,5.43580991e+03,5.01240698e+03,3.21230405e+03,2.06712317e+03,1.12791384e+03,5.43838556e+02,4.21860769e+02,2.99882982e+02,1.98218116e+02,1.79149505e+02,1.07735467e+02,6.56130770e+01,3.04676676e+01,1.20536737e+01,1.21381637e+00,5.83346815e-02,1.10746762e-03,0.00000000e+00
58849.00138889,1.30784738,0.04965001,0.11759264,7.89027522e+04,6.99758729e+04,6.10489935e+04,5.01544792e+04,3.92599648e+04,3.45540890e+04,2.98482133e+04,2.61222215e+04,1.40034847e+04,1.04447093e+04,6.88593396e+03,6.03277269e+03,5.17961142e+03,4.88797712e+03,4.59634282e+03,4.21366693e+03,2.62348318e+03,1.64574114e+03,8.91114584e+02,4.44331805e+02,3.52431072e+02,2.60530340e+02,1.79600489e+02,1.62284638e+02,9.29250293e+01,5.35025677e+01,2.34909745e+01,9.01980039e+00,8.45152282e-01,3.51930056e-02,4.58486352e-04,0.00000000e+00
58849.00208333,1.29988124,0.07474415,0.17702595,8.15396309e+04,7.21343160e+04,6.27290011e+04,5.05964657e+04,3.84639303e+04,3.27915047e+04,2.71190791e+04,2.61093161e+04,1.52223756e+04,1.09082272e+04,6.59407883e+03,5.71557568e+03,4.83707253e+03,4.52896652e+03,4.22086050e+03,3.84884859e+03,2.32633036e+03,1.41119289e+03,7.39251896e+02,3.64595851e+02,2.89962001e+02,2.15328151e+02,1.48042061e+02,1.32754985e+02,7.16878418e+01,3.88225349e+01,1.56693330e+01,6.02949358e+00,5.04021202e-01,1.62128115e-02,1.82929609e-04,0.00000000e+00
58849.00277778,1.28873405,0.09965538,0.23602523,9.75784256e+04,8.56744604e+04,7.37704953e+04,5.82669613e+04,4.27634274e+04,3.56851825e+04,2.86069377e+04,2.82072312e+04,1.62816516e+04,1.11564931e+04,6.03133461e+03,5.06546369e+03,4.09959277e+03,3.71468029e+03,3.32976781e+03,2.97393124e+03,1.67570167e+03,9.80741792e+02,5.14330138e+02,2.65270368e+02,2.15372848e+02,1.65475328e+02,1.15442772e+02,1.02620939e+02,5.11428708e+01,2.53024483e+01,9.25984772e+00,3.65549932e+00,2.78814931e-01,6.23711973e-03,1.26253178e-05,0.00000000e+00
58849.00347222,1.27443289,0.12432270,0.29444577,9.52132127e+04,8.36413043e+04,7.20693960e+04,5.69221720e+04,4.17749480e+04,3.31358494e+04,2.44967507e+04,2.02124722e+04,9.39759223e+03,7.62517303e+03,5.85275383e+03,4.89575032e+03,3.93874682e+03,3.54444607e+03,3.15014532e+03,2.78832790e+03,1.51392501e+03,8.49399572e+02,4.14817835e+02,1.98588925e+02,1.56923384e+02,1.15257844e+02,7.58934941e+01,6.62236210e+01,3.08691733e+01,1.45395245e+01,5.54169258e+00,1.60012585e+00,1.01765639e-01,1.78532385e-03,0.00000000e+00,0.00000000e+00
58849.00416667,1.25701266,0.14868576,0.35214432,9.15341584e+04,8.01208531e+04,6.87075478e+04,5.36738866e+04,3.86402255e+04,3.01618913e+04,2.16835572e+04,1.75707711e+04,7.75668759e+03,6.20006096e+03,4.64343432e+03,3.75415531e+03,2.86487629e+03,2.46711905e+03,2.06936180e+03,1.78420726e+03,9.13241017e+02,5.11965726e+02,2.59091617e+02,1.27634900e+02,1.01463924e+02,7.52929480e+01,4.88941691e+01,4.20590750e+01,1.77153080e+01,7.47315660e+00,2.64560045e+00,7.29228357e-01,4.21584710e-02,6.70547752e-04,0.00000000e+00,0.00000000e+00
58849.00486111,1.23651593,0.17268491,0.40897938,2.27705494e+04,2.02855141e+04,1.78004789e+04,1.46392637e+04,1.14780485e+04,9.57335928e+03,7.66867010e+03,6.66313103e+03,3.92682087e+03,3.28495641e+03,2.64309196e+03,2.21094283e+03,1.77879370e+03,1.53523906e+03,1.29168441e+03,1.11393775e+03,5.74684946e+02,3.27768103e+02,1.68724567e+02,8.20775274e+01,6.46486653e+01,4.72198032e+01,2.94357918e+01,2.47482371e+01,9.11712985e+00,3.37411210e+00,8.08189520e-01,2.36091256e-01,8.92748888e-03,2.09264956e-04,0.00000000e+00,0.00000000e+00
58849.00555556,1.21299286,0.19626141,0.46481157,2.26619552e+04,2.03111068e+04,1.79602583e+04,1.49094992e+04,1.18587401e+04,9.97834264e+03,8.09794516e+03,7.07640999e+03,4.13925828e+03,3.40214745e+03,2.66503662e+03,2.15405291e+03,1.64306920e+03,1.36922655e+03,1.09538391e+03,9.07486432e+02,4.03217271e+02,2.11204122e+02,9.99629543e+01,4.59189879e+01,3.53739936e+01,2.48289994e+01,1.46174197e+01,1.19217480e+01,3.66767197e+00,1.13524602e+00,2.39963165e-01,5.99690980e-02,1.41188313e-03,1.45489212e-05,0.00000000e+00,0.00000000e+00
58849.00625000,1.18650108,0.21935757,0.51950402,2.32645306e+04,2.09964429e+04,1.87283552e+04,1.57183422e+04,1.27083291e+04,1.08024631e+04,8.89659699e+03,7.82364748e+03,4.51200888e+03,3.58776042e+03,2.66351196e+03,2.03901027e+03,1.41450857e+03,1.11799961e+03,8.21490654e+02,6.52055120e+02,2.47703222e+02,1.20083898e+02,5.22099479e+01,2.24005955e+01,1.67826939e+01,1.11647922e+01,6.09998627e+00,4.80555641e+00,1.20598436e+00,3.12347283e-01,5.56482028e-02,1.18488984e-02,1.52187485e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
