'*',    74,     1,    32,    37,     3,    31,    -1,     0
'SPENVIS 4.6.12.3517          - 16-Mar-2025 06:07:29'
'PRJ_DEF', -1,'KOSMOS'
'PRJ_HDR', -1,' '
'MOD_ABB', -1,'TRP'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    1,' '
'MIS_STA',  1,  25567.00000000,' '
'MIS_END',  1,  25568.00000000,' '
'MIS_DUR',  1, 1.000000E+00,'days'
'ORB_HDR', -1,' '
'ORB_TYP', -1,'GEN'
'ORB_MJD',  1,  25567.00000000,' '
'ORB_YEA',  1, 2020,' '
'ORB_MON',  1,  1,' '
'ORB_DAY',  1,  1,' '
'ORB_HOU',  1,  0,' '
'ORB_MIN',  1,  0,' '
'ORB_SEC',  1,  0.0,' '
'ORB_APO',  1, 2.006800E+03,'km'
'ORB_PER',  1, 1.999800E+03,'km'
'ORB_INC',  1,    67.10,'deg'
'ORB_RAA',  1,     0.00,'deg'
'ORB_ARG',  1,     0.00,'deg'
'ORB_TRA',  1,     0.00,'deg'
'ORB_PRD',  1, 2.118506E+00,'hrs'
'ORB_DUR',  1, 2.500000E-01,'days'
'ORB_TSE',  1,  25568.00000000,' '
'ORB_AXM',  1,  2,' '
'ORB_MJR', -1,'1 Jan 1950, 00:00 UT'
'ORB_GDR', -1,'Astron. J. 66, 15, 1961'
'TRP_MOD', -1,'AP-8 MIN'
'TRP_OMN',  1,  1,' '
'ENERGY', 29,   0.10,   0.15,   0.20,   0.30,   0.40,   0.50,   0.60,   0.70,   1.00,   1.50,   2.00,   3.00,   4.00,   5.00,   6.00,   7.00,  10.00,  15.00,  20.00,  30.00,  40.00,  50.00,  60.00,  70.00, 100.00, 150.00, 200.00, 300.00, 400.00,'MeV'
'PS Annotation',  8,  2
'Mission start: 01/01/2020 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 02/01/2020 00:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   1'
 0.05, 1.50, 0.00
'Duration: 1.00 days'
 0.95, 0.00, 1.00
'PS Annotation', 24,  1
'Segment  1:'
 0.05, 2.00, 0.00
'Apogee: 2006.8 km'
 0.05, 1.50, 0.00
'Perigee: 1999.8 km'
 0.50, 0.00, 0.50
'Inclination: 67.1 deg'
 0.95, 0.00, 1.00
'R.A. Asc. Node: 0.0 deg'
 0.05, 1.50, 0.00
'Arg. Per.: 0.0 deg'
 0.50, 0.00, 0.50
'True Anomaly: 0.0 deg'
 0.95, 0.00, 1.00
'Period: 2.12 hrs'
 0.05, 1.50, 0.00
'Duration: 0.25 days'
 0.50, 0.00, 0.50
'2.83 Orbits'
 0.95, 0.00, 1.00
'Orbit start: 01/01/2020 00:00:00'
 0.05, 1.50, 0.00
'Orbit end: 01/01/2020 06:00:00'
 0.95, 0.00, 1.00
'PS Annotation',  2,  0
'Trapped proton model: AP-8 MIN'
 0.05, 2.00, 0.00
'B','Gauss', 1,'!8B!3'
'L','!8R!3!dE!n', 1,'!8L!3'
'Flux','cm!u-2!n s!u-1!n', 29,'AP-8 MIN Integral Flux >','ENERGY'
  1.4376E-01,  1.4010E+00,  4.1336E+04,  4.1237E+04,  4.1137E+04,  4.0998E+04,  4.0859E+04,  4.0735E+04,  4.0611E+04,  4.0462E+04,  4.0041E+04,  3.9373E+04,  3.8716E+04,  3.7444E+04,  3.6215E+04,  3.5011E+04,  3.3846E+04,  3.2408E+04,  2.8506E+04,  2.3929E+04,  2.0240E+04,  1.7155E+04,  1.5153E+04,  1.3385E+04,  1.1962E+04,  1.0731E+04,  7.6911E+03,  4.4604E+03,  2.5867E+03,  9.6803E+02,  3.6226E+02
  1.4880E-01,  1.4338E+00,  3.5962E+04,  3.5864E+04,  3.5768E+04,  3.5628E+04,  3.5489E+04,  3.5382E+04,  3.5276E+04,  3.5085E+04,  3.4639E+04,  3.3959E+04,  3.3293E+04,  3.2045E+04,  3.0844E+04,  2.9410E+04,  2.8042E+04,  2.6586E+04,  2.2585E+04,  1.9307E+04,  1.6649E+04,  1.3654E+04,  1.2107E+04,  1.0735E+04,  9.6302E+03,  8.6175E+03,  6.1387E+03,  3.5099E+03,  2.0069E+03,  7.3525E+02,  2.6937E+02
  1.5440E-01,  1.4742E+00,  2.9735E+04,  2.9665E+04,  2.9595E+04,  2.9505E+04,  2.9416E+04,  2.9255E+04,  2.9096E+04,  2.8984E+04,  2.8552E+04,  2.7949E+04,  2.7359E+04,  2.6241E+04,  2.5168E+04,  2.3886E+04,  2.2669E+04,  2.1597E+04,  1.8437E+04,  1.4791E+04,  1.2744E+04,  1.0743E+04,  9.5413E+03,  8.4742E+03,  7.6749E+03,  6.8529E+03,  4.8245E+03,  2.7310E+03,  1.5459E+03,  5.5116E+02,  1.9650E+02
  1.6044E-01,  1.5231E+00,  2.5673E+04,  2.5611E+04,  2.5550E+04,  2.5431E+04,  2.5312E+04,  2.5133E+04,  2.4955E+04,  2.4857E+04,  2.4476E+04,  2.3834E+04,  2.3209E+04,  2.1989E+04,  2.0834E+04,  1.9484E+04,  1.8222E+04,  1.7144E+04,  1.4414E+04,  1.1254E+04,  9.2674E+03,  7.7645E+03,  6.8675E+03,  6.0741E+03,  5.4843E+03,  4.8356E+03,  3.2670E+03,  1.7520E+03,  9.3958E+02,  3.0183E+02,  9.6961E+01
  1.6681E-01,  1.5813E+00,  2.1936E+04,  2.1872E+04,  2.1809E+04,  2.1712E+04,  2.1616E+04,  2.1480E+04,  2.1343E+04,  2.1196E+04,  2.0845E+04,  2.0250E+04,  1.9673E+04,  1.8517E+04,  1.7430E+04,  1.6177E+04,  1.5013E+04,  1.3555E+04,  1.0681E+04,  7.8975E+03,  6.3794E+03,  5.1291E+03,  4.4292E+03,  3.8248E+03,  3.3425E+03,  2.8676E+03,  1.7970E+03,  8.5953E+02,  4.1112E+02,  1.0675E+02,  2.7718E+01
  1.7337E-01,  1.6500E+00,  1.9020E+04,  1.8954E+04,  1.8888E+04,  1.8785E+04,  1.8681E+04,  1.8533E+04,  1.8385E+04,  1.8300E+04,  1.7984E+04,  1.7271E+04,  1.6585E+04,  1.5335E+04,  1.4178E+04,  1.2716E+04,  1.1405E+04,  1.0146E+04,  7.1676E+03,  4.8076E+03,  3.6934E+03,  2.8379E+03,  2.4027E+03,  2.0343E+03,  1.7533E+03,  1.4757E+03,  8.6514E+02,  3.6939E+02,  1.5771E+02,  3.5192E+01,  7.8528E+00
  1.8002E-01,  1.7296E+00,  1.6615E+04,  1.6560E+04,  1.6506E+04,  1.6365E+04,  1.6225E+04,  1.6060E+04,  1.5897E+04,  1.5752E+04,  1.5326E+04,  1.4670E+04,  1.4043E+04,  1.2607E+04,  1.1317E+04,  9.8426E+03,  8.5601E+03,  7.3646E+03,  4.7382E+03,  2.8679E+03,  2.0862E+03,  1.4929E+03,  1.2168E+03,  9.9179E+02,  8.2250E+02,  6.6974E+02,  3.5792E+02,  1.2751E+02,  4.5423E+01,  5.7647E+00,  0.0000E+00
  1.8666E-01,  1.8222E+00,  1.6069E+04,  1.5983E+04,  1.5897E+04,  1.5671E+04,  1.5449E+04,  1.5196E+04,  1.4947E+04,  1.4725E+04,  1.4122E+04,  1.3145E+04,  1.2236E+04,  1.0555E+04,  9.1045E+03,  7.6289E+03,  6.3925E+03,  5.3795E+03,  3.2563E+03,  1.8840E+03,  1.2992E+03,  8.2726E+02,  6.2322E+02,  4.6951E+02,  3.6038E+02,  2.7355E+02,  1.2462E+02,  3.6598E+01,  1.0748E+01,  0.0000E+00,  0.0000E+00
  1.9317E-01,  1.9294E+00,  3.0041E+04,  2.9694E+04,  2.9351E+04,  2.8362E+04,  2.7406E+04,  2.6449E+04,  2.5526E+04,  2.4683E+04,  2.2537E+04,  1.9724E+04,  1.7262E+04,  1.2998E+04,  9.7867E+03,  7.2672E+03,  5.3963E+03,  4.2164E+03,  2.3133E+03,  1.2411E+03,  7.9300E+02,  4.2917E+02,  2.9067E+02,  1.9687E+02,  1.4323E+02,  1.0560E+02,  4.3967E+01,  1.2937E+01,  3.8066E+00,  0.0000E+00,  0.0000E+00
  1.9948E-01,  2.0531E+00,  5.8578E+04,  5.7204E+04,  5.5862E+04,  5.3435E+04,  5.1112E+04,  4.9020E+04,  4.7013E+04,  4.5108E+04,  3.9863E+04,  3.2387E+04,  2.6313E+04,  1.7402E+04,  1.1508E+04,  7.9394E+03,  5.4775E+03,  4.0368E+03,  1.8488E+03,  8.0780E+02,  4.4656E+02,  1.9644E+02,  1.2169E+02,  7.5382E+01,  5.0957E+01,  3.6972E+01,  1.5400E+01,  4.9151E+00,  1.5687E+00,  0.0000E+00,  0.0000E+00
  2.0551E-01,  2.1955E+00,  1.1196E+05,  1.0191E+05,  9.2752E+04,  8.1933E+04,  7.2376E+04,  6.6192E+04,  6.0537E+04,  5.6811E+04,  4.6981E+04,  3.4158E+04,  2.4834E+04,  1.4699E+04,  8.7000E+03,  5.8567E+03,  3.9427E+03,  2.8228E+03,  1.1959E+03,  4.3430E+02,  2.1235E+02,  7.7122E+01,  4.0267E+01,  2.1024E+01,  1.2903E+01,  8.7196E+00,  3.0210E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.1119E-01,  2.3596E+00,  1.5463E+05,  1.4054E+05,  1.2774E+05,  1.0827E+05,  9.1767E+04,  8.0087E+04,  6.9894E+04,  6.2132E+04,  4.4466E+04,  2.8334E+04,  1.8055E+04,  9.3434E+03,  4.8351E+03,  3.0749E+03,  1.9554E+03,  1.3942E+03,  5.5019E+02,  1.8730E+02,  8.7271E+01,  3.0248E+01,  1.3843E+01,  6.3349E+00,  3.5537E+00,  1.8851E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.1648E-01,  2.5485E+00,  2.9747E+05,  2.6416E+05,  2.3459E+05,  1.8625E+05,  1.4787E+05,  1.2208E+05,  1.0079E+05,  8.3535E+04,  5.0448E+04,  2.6283E+04,  1.3693E+04,  5.6769E+03,  2.3535E+03,  1.3690E+03,  7.9628E+02,  5.4192E+02,  1.9944E+02,  5.8566E+01,  2.3408E+01,  6.3873E+00,  1.7429E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
